Deeply Under Construction.

row     status      agegrp      cond        duration
----------------------------------------------------
  6529  recovered   age0_19     62|74      
  6532  recovered   age0_19     61|71      
  6576  recovered   age0_19     60|76      
  6636  recovered   age0_19     49|83      
  6671  recovered   age0_19     64|101     
  6689  recovered   age0_19     55|67      
  6706  recovered   age0_19     57|87      
  6713  recovered   age0_19     55|71      
  6721  recovered   age0_19     44|71      
  6749  recovered   age0_19     45|54      
  6768  recovered   age0_19     58|72      
  6786  recovered   age0_19     66|101     
  6806  recovered   age0_19     49|73      
  6858  recovered   age0_19     54|86      
  6920  recovered   age0_19     44|62      
  6934  recovered   age0_19     63|82      
  6971  recovered   age0_19     58|71      
  7006  recovered   age0_19     44|61      
  7016  recovered   age0_19     34|65      
  7038  recovered   age0_19     55|66      
  7058  recovered   age0_19     53|73      
  7081  recovered   age0_19     36|73      
  7128  recovered   age0_19     75|102     
  7129  recovered   age0_19     54|63      
  7130  recovered   age0_19     54|72      
  7139  recovered   age0_19     49|97      
  7145  recovered   age0_19     71|81      
  7177  recovered   age0_19     75|121     
  7213  recovered   age0_19     52|68      
  7227  recovered   age0_19     58|75      
  7229  recovered   age0_19     50|68      
  7245  recovered   age0_19     51|67      
  7256  recovered   age0_19     63|81      
  7281  recovered   age0_19     51|72      
  7291  recovered   age0_19     60|82      
  7296  recovered   age0_19     43|68      
  7345  recovered   age0_19     66|80      
  7384  recovered   age0_19     50|72      
  7420  recovered   age0_19     60|74      
  7472  recovered   age0_19     57|72      
  7542  recovered   age0_19     65|86      
  7611  recovered   age0_19     78|110     
  7696  recovered   age0_19     62|76|103  
  7699  recovered   age0_19     58|69|78   
  7710  recovered   age0_19     60|103     
  7775  recovered   age0_19     64|93      
  7817  recovered   age0_19     61|70|86   
  7823  recovered   age0_19     81|128     
  7856  recovered   age0_19     55|85      
  7860  recovered   age0_19     55|71      
  7884  recovered   age0_19     56|69      
  7911  recovered   age0_19     51|112     
  7918  recovered   age0_19     54|63      
  7932  recovered   age0_19     60|79      
  7934  recovered   age0_19     25|42      
  7952  recovered   age0_19     58|72      
  8017  recovered   age0_19     52|61      
  8072  recovered   age0_19     55|70      
  8079  recovered   age0_19     80|94      
  8124  recovered   age0_19     39|56      
  8131  recovered   age0_19     74|89      
  8142  recovered   age0_19     49|61      
  8168  recovered   age0_19     57|77      
  8273  recovered   age0_19     64|87      
  8292  recovered   age0_19     58|74      
  8306  recovered   age0_19     54|70      
  8317  recovered   age0_19     47|65      
  8319  recovered   age0_19     58|84      
  8331  recovered   age0_19     47|70      
  8403  recovered   age0_19     72|84      
  8409  recovered   age0_19     51|72      
  8419  recovered   age0_19     62|100     
  8435  recovered   age0_19     59|76      
  8484  recovered   age0_19     67|82      
  8505  recovered   age0_19     39|64      
  8526  recovered   age0_19     52|61      
  8584  recovered   age0_19     58|69      
  8596  recovered   age0_19     48|65      
  8602  recovered   age0_19     47|56      
  8669  recovered   age0_19     51|70      
  8746  recovered   age0_19     57|79      
  8769  recovered   age0_19     52|64      
  8774  recovered   age0_19     47|75      
  8781  recovered   age0_19     69|104     
  8840  recovered   age0_19     47|85      
  8860  recovered   age0_19     64|81      
  8897  recovered   age0_19     54|67      
  8908  recovered   age0_19     66|102     
  9003  recovered   age0_19     69|87      
  9067  recovered   age0_19     48|65      
  9068  recovered   age0_19     59|69      
  9088  recovered   age0_19     67|91      
  9108  recovered   age0_19     74|93      
  9110  recovered   age0_19     57|67      
  9202  recovered   age0_19     44|72      
  9228  recovered   age0_19     62|78      
  9293  recovered   age0_19     51|62      
  9296  recovered   age0_19     59|100     
  9326  recovered   age0_19     59|71      
  9331  recovered   age0_19     60|79      
  9336  recovered   age0_19     45|77      
  9354  recovered   age0_19     45|60      
  9360  recovered   age0_19     36|88      
  9398  recovered   age0_19     59|89      
  9422  recovered   age0_19     56|68      
  9471  recovered   age0_19     60|89      
  9535  recovered   age0_19     46|67      
  9551  recovered   age0_19     56|80      
  9567  recovered   age0_19     88|110     
  9584  recovered   age0_19     81|96      
  9591  recovered   age0_19     60|74|127  
  9667  recovered   age0_19     62|89      
  9793  recovered   age0_19     44|57      
  9833  recovered   age0_19     67|87      
  9841  recovered   age0_19     52|82      
  9853  recovered   age0_19     63|72      
  9908  recovered   age0_19     42|71      
  9918  recovered   age0_19     59|83      
  9931  recovered   age0_19     52|78      
  9989  recovered   age0_19     70|92      
 10009  recovered   age0_19     77|94      
 10018  recovered   age0_19     69|90      
 10020  recovered   age0_19     68|83      
 10023  recovered   age0_19     53|66      
 10024  recovered   age0_19     54|74      
 10043  recovered   age0_19     49|89      
 10114  recovered   age0_19     62|80      
 10149  recovered   age0_19     59|73      
 10202  recovered   age0_19     61|87      
 10232  recovered   age0_19     57|73      
 10233  recovered   age0_19     64|108     
 10256  recovered   age0_19     43|74      
 10356  recovered   age0_19     56|73      
